tourney_id,tourney_name,surface,draw_size,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpFaced,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpFaced,l_bpSaved,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_date
2020580,Australian Open,Hard,128,152,126125,Maxime Janvier,R,193,FRA,23,126156,Antoine Hoang,R,183,FRA,24,7-6(4) 6-7(5) 6-1,143,4,3,110,72,50,22,16,10,7,1,7,111,75,48,18,15,11,6,201,240,118,470,2020-01-20 00:00:00
2021540,Wimbledon,Grass,128,166,111456,Mackenzie Mcdonald,R,178,USA,26,105011,Illya Marchenko,R,185,UKR,34,6-1 3-6 6-4,112,4,3,73,49,34,9,13,6,1,5,3,89,45,28,15,13,14,7,108,735,153,470,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,197,111456,Mackenzie Mcdonald,R,178,USA,26,202195,Maxime Cressy,R,198,USA,24,3-6 4-6 6-3 6-4 6-4,192,12,1,144,105,77,25,24,14,11,19,9,142,89,63,33,24,14,10,108,735,152,470,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,850,106216,Bjorn Fratangelo,R,183,USA,28,104424,Go Soeda,R,178,JPN,37,6-2 6-3,72,1,1,52,37,27,10,9,4,4,2,4,57,30,20,10,8,9,5,198,354,156,469,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,802,122298,Botic Van De Zandschulp,R,188,NED,26,104919,Leonardo Mayer,R,188,ARG,34,2-6 7-6(4) 6-3,140,5,4,90,63,41,13,15,8,2,3,7,93,48,33,18,14,10,5,154,478,157,468,2021-05-31 00:00:00
2021560,Us Open,Hard,128,175,111505,Enzo Couacaud,R,183,FRA,26,105877,Emilio Gomez,R,185,ECU,30,7-6(5) 6-4,113,8,5,79,31,24,25,0,8,4,4,4,87,57,32,14,0,16,11,189,380,161,467,2021-08-30 00:00:00
2021560,Us Open,Hard,128,158,103333,Ivo Karlovic,R,208,CRO,42,110748,Nikola Milojevic,R,188,SRB,26,6-4 7-6(1),85,18,1,54,39,35,13,0,0,0,7,7,62,28,25,18,0,2,1,221,309,160,467,2021-08-30 00:00:00
2020580,Australian Open,Hard,128,192,105208,Ernests Gulbis,R,190,LAT,31,105948,Federico Coria,R,180,ARG,28,6-3 1-6 6-2,110,4,7,89,47,33,20,12,10,7,4,1,63,43,27,10,12,4,0,256,179,119,465,2020-01-20 00:00:00
2021581,Australian Open,Hard,128,195,104460,Dustin Brown,R,196,GER,36,126535,Carlos Taberner,R,183,ESP,23,6-3 7-5,95,8,8,88,50,40,13,11,6,5,3,1,53,40,28,6,10,3,0,261,209,142,464,2021-01-10 00:00:00
2020520,Roland Garros,Clay,128,210,126846,Aleksandar Vukic,R,188,AUS,24,105359,Jason Jung,R,178,TPE,31,6-3 3-6 6-3,118,13,0,102,54,36,27,14,12,9,3,3,71,46,29,12,13,8,4,193,287,125,464,2020-09-28 00:00:00
2021560,Us Open,Hard,128,153,208118,Eliot Spizzirri,U,180,USA,20,126214,Alejandro Tabilo,L,188,CHI,24,5-7 7-6(0) 6-3,137,10,2,100,69,47,19,0,4,1,14,10,101,61,48,15,0,7,4,769,26,162,462,2021-08-30 00:00:00
2021520,Roland Garros,Clay,128,883,202385,Jenson Brooksby,R,188,USA,20,144817,Marc Andrea Huesler,L,196,SUI,25,6-7(5) 6-4 6-4,152,6,1,117,81,50,24,16,6,4,8,4,96,55,42,20,16,5,1,163,437,158,459,2021-05-31 00:00:00
2021581,Australian Open,Hard,128,131,111581,Michael Mmoh,R,188,USA,23,105905,Danilo Petrovic,R,203,SRB,29,6-3 6-2,68,3,1,46,35,28,8,9,0,0,5,4,43,25,17,7,8,6,3,174,368,144,458,2021-01-10 00:00:00
2021581,Australian Open,Hard,128,143,104678,Viktor Troicki,R,193,SRB,35,200514,Jurij Rodionov,L,191,AUT,22,2-6 6-2 6-1,95,4,1,62,46,37,8,12,4,2,2,3,66,35,22,16,11,9,5,202,326,143,458,2021-01-10 00:00:00
2020520,Roland Garros,Clay,128,160,104460,Dustin Brown,R,196,GER,36,111576,Sumit Nagal,R,178,IND,23,7-6(4) 7-5,107,4,3,88,39,28,23,12,11,7,0,0,76,59,36,9,12,10,5,246,209,127,458,2020-09-28 00:00:00
2021540,Wimbledon,Grass,128,167,202195,Maxime Cressy,R,198,USA,24,144817,Marc Andrea Huesler,L,196,SUI,25,6-3 6-7(5) 6-4,120,17,9,102,70,53,15,16,3,1,6,3,87,59,45,12,16,7,3,152,470,155,458,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,155,105441,John Patrick Smith,L,188,AUS,32,103893,Paolo Lorenzi,R,183,ITA,39,7-5 6-1,102,5,3,65,48,37,6,10,11,10,1,2,59,41,26,6,9,7,3,315,143,145,457,2021-01-10 00:00:00
2021560,Us Open,Hard,128,105,126663,Juan Pablo Ficovich,R,191,ARG,24,111576,Sumit Nagal,R,178,IND,24,7-5 4-6 6-3,142,16,1,100,70,50,17,0,11,9,4,4,79,57,43,9,0,4,1,254,262,164,456,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,175,105943,Federico Gaio,R,180,ITA,29,126128,Roman Safiullin,R,185,RUS,24,3-6 6-2 6-3,90,6,5,74,41,37,18,13,3,2,6,2,68,42,33,12,13,6,3,145,499,157,455,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,123,117356,Cem Ilkel,R,185,TUR,25,105376,Peter Gojowczyk,R,185,GER,31,6-2 6-3,82,9,2,64,35,26,15,9,5,4,0,4,53,29,16,11,8,8,4,219,265,146,454,2021-01-10 00:00:00
2020520,Roland Garros,Clay,128,119,105373,Martin Klizan,L,190,SVK,31,105376,Peter Gojowczyk,R,185,GER,31,6-2 6-7(4) 6-4,124,10,3,86,46,36,18,15,6,2,7,8,91,42,32,15,15,9,2,164,352,128,454,2020-09-28 00:00:00
2021540,Wimbledon,Grass,128,207,126156,Antoine Hoang,R,183,FRA,26,144684,Alex Molcan,L,178,SVK,24,1-6 4-6 6-4 6-4 7-5,224,13,11,183,118,72,35,24,24,18,7,3,151,116,77,15,25,9,3,156,456,158,454,2021-06-28 00:00:00
2020520,Roland Garros,Clay,128,179,106058,Jack Sock,R,185,USA,28,105487,Facundo Bagnis,L,183,ARG,30,2-6 6-2 7-6(1),129,4,4,75,41,34,21,14,4,2,5,2,85,47,29,24,14,5,3,310,140,129,453,2020-09-28 00:00:00
